,area_id,n_points,n_zeros,n_ones,ones_proportion,area_num
0,E01025085,681,668.0,13.0,0.019089574155653488,1
1,E01025086,788,716.0,72.0,0.09137055837563457,2
2,E01025087,1041,802.0,239.0,0.22958693563880883,3
3,E01025088,513,464.0,49.0,0.09551656920077978,4
4,E01025089,864,696.0,168.0,0.19444444444444442,5
5,E01025090,863,826.0,37.0,0.042873696407879525,6
6,E01025091,843,700.0,143.0,0.16963226571767498,7
7,E01025092,740,559.0,181.0,0.24459459459459465,8
8,E01025093,1764,815.0,949.0,0.5379818594104309,9
9,E01025094,701,674.0,27.0,0.03851640513552068,10
10,E01025095,1266,551.0,715.0,0.5647709320695102,11
11,E01025096,967,732.0,235.0,0.24301964839710444,12
12,E01025097,777,705.0,72.0,0.0926640926640927,13
13,E01025098,1104,662.0,442.0,0.4003623188405797,14
14,E01025099,1612,873.0,739.0,0.4584367245657568,15
15,E01025100,1357,734.0,623.0,0.4591009579955785,16
16,E01025101,741,701.0,40.0,0.053981106612685514,17
17,E01025102,649,574.0,75.0,0.11556240369799697,18
18,E01025103,600,560.0,40.0,0.06666666666666665,19
19,E01025105,3437,561.0,2876.0,0.836776258364853,20
20,E01025106,1277,827.0,450.0,0.35238841033672674,21
21,E01025107,1453,744.0,709.0,0.4879559532002753,22
22,E01025108,860,593.0,267.0,0.3104651162790698,23
23,E01025109,783,497.0,286.0,0.3652618135376756,24
24,E01025110,1499,949.0,550.0,0.36691127418278857,25
25,E01025111,817,790.0,27.0,0.033047735618115026,26
26,E01025112,1015,873.0,142.0,0.13990147783251228,27
27,E01025113,713,693.0,20.0,0.028050490883590462,28
28,E01025114,816,762.0,54.0,0.06617647058823528,29
29,E01025115,740,701.0,39.0,0.05270270270270272,30
30,E01025116,848,764.0,84.0,0.09905660377358494,31
31,E01025117,1143,813.0,330.0,0.2887139107611548,32
32,E01025118,591,539.0,52.0,0.08798646362098139,33
33,E01025119,664,649.0,15.0,0.02259036144578308,34
34,E01025120,946,745.0,201.0,0.21247357293868918,35
35,E01025121,1011,800.0,211.0,0.20870425321463892,36
36,E01025122,1026,873.0,153.0,0.14912280701754388,37
37,E01025123,1163,995.0,168.0,0.14445399828030958,38
38,E01025124,811,733.0,78.0,0.09617755856966703,39
39,E01025125,529,421.0,108.0,0.20415879017013228,40
40,E01025126,1031,835.0,196.0,0.1901066925315228,41
41,E01025127,652,649.0,3.0,0.004601226993865004,42
42,E01025128,767,721.0,46.0,0.059973924380704036,43
43,E01025129,545,531.0,14.0,0.025688073394495414,44
44,E01025130,1773,1120.0,653.0,0.368302312464749,45
45,E01025131,1047,735.0,312.0,0.29799426934097417,46
46,E01025132,1098,678.0,420.0,0.3825136612021858,47
47,E01025133,916,750.0,166.0,0.18122270742358082,48
48,E01025136,936,788.0,148.0,0.1581196581196581,49
49,E01025137,697,668.0,29.0,0.04160688665710188,50
50,E01025138,733,643.0,90.0,0.12278308321964526,51
51,E01025139,1943,1019.0,924.0,0.47555326814204835,52
52,E01025140,927,707.0,220.0,0.2373247033441208,53
53,E01025141,747,666.0,81.0,0.10843373493975905,54
54,E01025142,733,677.0,56.0,0.07639836289222379,55
55,E01025143,770,706.0,64.0,0.08311688311688314,56
56,E01025144,979,876.0,103.0,0.10520939734422885,57
57,E01025145,699,669.0,30.0,0.0429184549356223,58
58,E01025146,1049,855.0,194.0,0.18493803622497618,59
59,E01025147,820,667.0,153.0,0.1865853658536586,60
60,E01025148,1505,1121.0,384.0,0.2551495016611296,61
61,E01025149,1157,1065.0,92.0,0.07951598962834916,62
62,E01025150,703,664.0,39.0,0.05547652916073964,63
63,E01025151,1129,883.0,246.0,0.21789193976970767,64
64,E01025152,701,679.0,22.0,0.031383737517831634,65
65,E01025153,582,546.0,36.0,0.061855670103092786,66
66,E01025154,759,687.0,72.0,0.09486166007905139,67
67,E01025155,577,559.0,18.0,0.03119584055459268,68
68,E01025156,538,477.0,61.0,0.11338289962825276,69
69,E01025157,725,620.0,105.0,0.1448275862068965,70
70,E01025158,704,686.0,18.0,0.025568181818181768,71
71,E01025159,922,679.0,243.0,0.2635574837310195,72
72,E01025160,700,611.0,89.0,0.1271428571428571,73
73,E01025161,702,686.0,16.0,0.022792022792022748,74
74,E01025162,767,772.0,-5.0,0.0,75
75,E01025163,701,682.0,19.0,0.02710413694721825,76
76,E01025164,787,699.0,88.0,0.1118170266836086,77
77,E01025165,661,629.0,32.0,0.04841149773071107,78
78,E01025166,872,610.0,262.0,0.3004587155963303,79
79,E01025167,1008,579.0,429.0,0.42559523809523814,80
80,E01025168,667,579.0,88.0,0.13193403298350825,81
81,E01025169,937,606.0,331.0,0.3532550693703308,82
82,E01025170,924,865.0,59.0,0.06385281385281383,83
83,E01025171,1590,771.0,819.0,0.5150943396226415,84
84,E01025172,1283,713.0,570.0,0.44427123928293066,85
85,E01025173,1016,819.0,197.0,0.19389763779527558,86
86,E01033071,2189,669.0,1520.0,0.6943809958885336,87
87,E01033072,2117,1060.0,1057.0,0.4992914501653283,88
88,E01033073,1253,774.0,479.0,0.38228252194732637,89
